Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,aged_15plus_unemployment_rate_percent,agriculture_percent_of_gdp,cell_phones_per_100_people,children_per_woman_total_fertility,corruption_perception_index_cpi,hdi_human_development_index,inflation_annual_percent,internet_users,median_age_years,military_expenditure_percent_of_gdp,murder_per_100000_people,population_density_per_square_km,urban_population_growth_annual_percent,urban_population_percent_of_total,working_hours_per_week
Indonesia,Southeastern Asia,74,5.399,0.025960000000000004,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,1.86399,4.51,13.5,131.0,2.39,36.0,0.6890000000000001,3.98,22.0,28.0,0.8859999999999999,,143.0,2.46,53.3,40.0
Vietnam,Southeastern Asia,75,5.36,0.03107,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.10440999999999999,0.1686,2.20173,1.86,17.0,129.0,1.96,31.0,0.6829999999999999,-0.191,43.5,30.4,2.36,,302.0,3.18,33.8,40.9
Turkey,Middle East and Northern Africa,76,5.332000000000002,0.03864,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,10.2,6.9,94.1,2.07,42.0,0.767,7.83,53.7,29.9,1.85,1.35,102.0,2.33,73.6,46.7
Kyrgyzstan,Central and Eastern Europe,77,5.2860000000000005,0.03823,0.47428000000000003,1.15115,0.65088,0.43477,0.042319999999999997,0.3003,2.2327,,,,,,,,,,,,,,,
Nigeria,Sub-Saharan Africa,78,5.268,0.04192,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2.89319,4.31,20.6,83.2,5.59,26.0,0.527,2.86,24.5,17.9,0.418,,199.0,4.45,47.8,
Bhutan,Southern Asia,79,5.252999999999999,0.03225,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998,1.63794,2.45,16.7,85.8,2.09,65.0,0.607,3.65,39.8,26.3,,,20.7,3.38,38.7,
Azerbaijan,Central and Eastern Europe,80,5.2120000000000015,0.03363,1.02389,0.9379299999999999,0.64045,0.3703,0.16065,0.07799,2.00073,4.96,6.2,111.0,2.09,29.0,0.759,-8.86,77.0,30.3,5.47,,116.0,1.73,54.7,36.8
Pakistan,Southern Asia,81,5.194,0.03726,0.59543,0.41411000000000003,0.51466,0.12102,0.10464000000000001,0.33671,3.1070900000000004,3.57,23.8,66.5,3.55,30.0,0.55,4.11,14.0,22.5,3.41,,246.0,2.62,36.0,47.0
Jordan,Middle East and Northern Africa,82,5.192,0.045239999999999995,0.9019799999999999,1.05392,0.69639,0.40660999999999997,0.14293,0.11052999999999999,1.8799599999999999,13.1,3.68,151.0,3.45,53.0,0.742,2.27,60.1,22.1,4.3,,103.0,4.18,90.3,
Montenegro,Central and Eastern Europe,82,5.192,0.05235,0.9743799999999999,0.9055700000000001,0.72521,0.1826,0.14296,0.1614,2.10017,17.5,8.06,160.0,1.68,44.0,0.807,2.22,68.1,37.7,1.42,,46.7,0.5670000000000001,65.8,43.1
China,Eastern Asia,84,5.14,0.02424,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,1.8604,,8.83,92.5,1.62,37.0,0.738,0.0933,50.3,37.0,1.93,,149.0,2.77,55.5,
Zambia,Sub-Saharan Africa,85,5.129,0.06988,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,,4.98,71.8,5.04,38.0,0.579,6.66,21.0,17.1,1.79,,21.7,4.28,41.9,
Romania,Central and Eastern Europe,86,5.124,0.06607,1.04345,0.8858799999999999,0.7689,0.35068,0.006490000000000001,0.13748,1.9312900000000002,6.81,4.19,116.0,1.51,46.0,0.802,2.59,55.8,41.3,1.45,1.15,86.4,-0.495,53.9,38.7
Serbia,Central and Eastern Europe,87,5.122999999999998,0.048639999999999996,0.92053,1.0096399999999999,0.74836,0.20107,0.02617,0.19230999999999998,2.025,17.9,6.77,130.0,1.6,40.0,0.7759999999999999,2.68,65.3,40.0,1.95,1.17,101.0,-0.292,55.7,41.9
Portugal,Western Europe,88,5.102,0.04802,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,1.26462,12.4,2.05,112.0,1.25,64.0,0.843,2.03,68.6,43.9,1.79,,114.0,0.5,63.5,38.8
Latvia,Central and Eastern Europe,89,5.098,0.0464,1.11312,1.09562,0.72437,0.29671,0.06332,0.18225999999999998,1.62215,9.87,3.64,130.0,1.53,56.0,0.83,0.00123,79.2,42.5,1.05,4.26,32.0,-0.777,68.0,39.2
Philippines,Southeastern Asia,90,5.073,0.049339999999999995,0.70532,1.03516,0.58114,0.62545,0.12279000000000001,0.24991,1.7536,,10.3,116.0,2.96,35.0,0.682,-0.5870000000000001,53.7,24.1,1.14,,341.0,2.01,46.3,
Somaliland region,Sub-Saharan Africa,91,5.0569999999999995,0.06161000000000001,0.18847,0.95152,0.43873,0.46581999999999996,0.39928,0.5031800000000001,2.11032,,,,,,,,,,,,,,,
Morocco,Middle East and Northern Africa,92,5.013,0.0342,0.7347899999999999,0.64095,0.60954,0.4169100000000001,0.08546000000000001,0.07172,2.4537299999999997,9.46,12.8,124.0,2.53,36.0,0.647,1.71,57.1,27.9,3.23,,78.0,2.32,60.8,
Macedonia,Central and Eastern Europe,93,5.007,0.05376,0.91851,1.00232,0.73545,0.33457,0.053270000000000005,0.22359,1.7393299999999998,,,,,,,,,,,,,,,
Mozambique,Sub-Saharan Africa,94,4.971,0.07896,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,3.43,22.9,71.9,5.31,31.0,0.418,4.38,16.9,17.2,0.993,,35.6,4.42,34.4,36.4
Albania,Central and Eastern Europe,95,4.959,0.05013,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272,1.89894,17.1,19.8,116.0,1.71,36.0,0.764,0.564,63.3,36.2,1.17,,107.0,1.48,57.4,38.8
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.06913,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.00227,0.24808000000000002,2.06367,27.6,6.24,97.4,1.35,38.0,0.75,1.37,52.6,41.0,0.972,,69.3,-0.138,47.2,40.7
Lesotho,Sub-Saharan Africa,97,4.898,0.09437999999999999,0.37545,1.04103,0.07612000000000001,0.31767,0.12504,0.16388,2.79832,,4.97,98.4,3.14,44.0,0.4970000000000001,9.91,25.0,21.3,1.89,,71.6,2.86,26.9,
Dominican Republic,Latin America and Caribbean,98,4.885,0.07446,0.8953700000000001,1.17202,0.66825,0.57672,0.14234000000000002,0.21684,1.21305,7.61,5.6,83.6,2.45,33.0,0.722,0.6409999999999999,54.2,26.1,0.6729999999999999,,218.0,2.32,78.6,41.1
Laos,Southeastern Asia,99,4.876,0.06698,0.5906600000000001,0.73803,0.54909,0.59591,0.24249,0.42191999999999996,1.7379900000000001,,,,,,,,,,,,,,,
Mongolia,Eastern Asia,100,4.874,0.03313,0.82819,1.3006,0.60268,0.43626000000000004,0.026660000000000003,0.3323,1.34759,4.86,13.4,103.0,2.79,39.0,0.735,1.73,22.5,27.1,0.866,,1.92,1.89,68.2,48.0
Swaziland,Sub-Saharan Africa,101,4.867,0.08742,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,,9.59,71.3,3.14,,0.541,7.55,25.6,20.4,1.69,,76.7,2.48,23.3,
Greece,Western Europe,102,4.857,0.05062,1.15406,0.9293299999999999,0.88213,0.07699,0.013969999999999998,0.0,1.8010099999999998,24.9,3.75,112.0,1.31,46.0,0.866,-1.02,66.8,43.3,2.47,0.752,87.0,-0.217,78.0,40.9
