Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Unemployment (% age 15plus),Agriculture (% of GDP),Cell phones / 100ppl,Fertility (Children/woman),Corruption Perception Index (CPI),Inflation (annual %),Internet users (%),Military expenditure (% of GDP),Murder /100000 people,Population density /km^2 ,Urban population growth (annual %),Urban population (%),Working hours / week,id
Israel,Middle East and Northern Africa,11,7.267,7.199,7.335,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,4.8,1.17,129,2.97,64,0.843,79.7,4.65,,379,2.04,92.3,36.3,ISR
Austria,Western Europe,12,7.119,7.045,7.193,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,6.01,1.1,164,1.49,75,1.09,84.3,0.747,0.417,106,1.41,57.9,35.6,AUT
United States,North America,13,7.104,7.02,7.188,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,4.87,1.01,123,1.92,74,1.28,76.2,3.22,,35.2,0.968,81.9,36.7,USA
Costa Rica,Latin America and Caribbean,14,7.087,6.999,7.175,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,8.6,5.19,172,1.78,58,1.79,66,0,,95.1,2.15,77.7,43.9,CRI
Puerto Rico,Latin America and Caribbean,15,7.039,6.794,7.284,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,3.0076,,,,,,,,,,,,,,PRI
Germany,Western Europe,16,6.994,6.93,7.058,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,4.12,0.553,126,1.46,81,1.33,89.6,1.2,,235,0.838,77.2,35.5,DEU
Brazil,Latin America and Caribbean,17,6.952,6.875,7.029,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,11.6,4.89,118,1.73,40,8.14,60.9,1.35,,24.8,1.13,86,38.8,BRA
Belgium,Western Europe,18,6.929,6.861,6.997,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,7.83,0.617,110,1.79,77,1.58,86.5,0.925,,375,0.55,97.9,37.3,BEL
Ireland,Western Europe,19,6.907,6.836,6.978,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,8.37,0.925,103,1.99,73,0.0207,85,0.341,,68.6,1.45,62.7,35.6,IRL
Luxembourg,Western Europe,20,6.871,6.804,6.938,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,6.29,0.242,133,1.57,81,-1.31,98.1,0.445,,222,2.47,90.5,37.9,LUX
Mexico,Latin America and Caribbean,21,6.778,6.68,6.876,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,3.86,3.35,87.6,2.18,30,5.36,59.5,0.575,,65.6,1.67,79.6,45.7,MEX
Singapore,Southeastern Asia,22,6.739,6.674,6.804,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,4.08,0.0299,150,1.25,84,-0.0365,84.5,3.33,,8030,1.3,100,,SGP
United Kingdom,Western Europe,23,6.725,6.647,6.803,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,4.81,0.537,120,1.87,81,1.97,94.8,1.84,,272,1.03,82.9,36,GBR
Chile,Latin America and Caribbean,24,6.705,6.615,6.795,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,6.74,4.03,130,1.77,66,4.73,83.6,1.94,,24.1,0.896,87.4,40.8,CHL
Panama,Latin America and Caribbean,25,6.701,6.601,6.801,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,3.31,2.49,127,2.51,38,1.4,54,0,,54.3,2.12,67,38.2,PAN
Argentina,Latin America and Caribbean,26,6.65,6.56,6.74,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,,6.35,145,2.29,36,40.1,71,0.827,,16,1.12,91.6,42.9,ARG
Czech Republic,Central and Eastern Europe,27,6.596,6.515,6.677,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,3.95,2.21,118,1.54,55,1.24,76.5,1,0.467,137,0.319,73.6,39.5,CZE
